jobs,code,count,mean,std,min,25%,50%,75%,max,rel_std
"['Archeologists', 'Historians', 'Anthropologists', 'Geographers', 'Transportation Planners', 'Political Scientists']",19-309,6.0,49.0,11.47170431975999,31.0,43.25,51.0,55.75,63.0,0.2341164146889794
"['Floral Designers', 'Merchandise Displayers and Window Trimmers', 'Interior Designers', 'Set and Exhibit Designers', 'Commercial and Industrial Designers', 'Fashion Designers', 'Graphic Designers']",27-102,7.0,53.857142857142854,12.863754913561998,34.0,48.5,53.0,60.0,73.0,0.23884956072926788
"['Farm Labor Contractors', 'Labor Relations Specialists', 'Human Resources Specialists']",13-107,3.0,52.666666666666664,12.583057392117915,41.0,46.0,51.0,58.5,66.0,0.23891881124274525
"['First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers', 'First-Line Supervisors of Housekeeping and Janitorial Workers']",37-101,2.0,61.5,14.849242404917497,51.0,56.25,61.5,66.75,72.0,0.24145109601491865
"['Art, Drama, and Music Teachers, Postsecondary', 'Foreign Language and Literature Teachers, Postsecondary', 'Communications Teachers, Postsecondary', 'English Language and Literature Teachers, Postsecondary', 'Philosophy and Religion Teachers, Postsecondary', 'History Teachers, Postsecondary']",25-112,6.0,51.5,12.485992151206888,36.0,47.0,50.5,51.75,74.0,0.24244644953799782
"['Securities and Commodities Traders', 'Sales Agents, Financial Services', 'Sales Agents, Securities and Commodities']",41-303,3.0,52.333333333333336,12.858201014657272,43.0,45.0,47.0,57.0,67.0,0.24569810856033003
"['Coroners', 'Licensing Examiners and Inspectors', 'Environmental Compliance Inspectors', 'Regulatory Affairs Specialists', 'Government Property Inspectors and Investigators', 'Equal Opportunity Representatives and Officers']",13-104,6.0,59.666666666666664,14.746751054610865,41.0,52.75,56.0,66.75,83.0,0.24715225231191396
"['Painters, Construction and Maintenance', 'Paperhangers']",47-214,2.0,54.0,14.142135623730951,44.0,49.0,54.0,59.0,64.0,0.2618914004394621
"['Education Administrators, Preschool and Childcare Center/Program', 'Fitness and Wellness Coordinators', 'Education Administrators, Elementary and Secondary School', 'Distance Learning Coordinators', 'Education Administrators, Postsecondary']",11-903,5.0,55.6,14.842506526863986,38.0,47.0,52.0,66.0,75.0,0.26695155623856087
"['Criminal Justice and Law Enforcement Teachers, Postsecondary', 'Law Teachers, Postsecondary', 'Social Work Teachers, Postsecondary']",25-111,3.0,44.0,11.789826122551595,34.0,37.5,41.0,49.0,57.0,0.2679505936943544
