jobs,code,count,mean,std,min,25%,50%,75%,max,rel_std
"['Cutting and Slicing Machine Setters, Operators, and Tenders', 'Grinding and Polishing Workers, Hand', 'Inspectors, Testers, Sorters, Samplers, and Weighers', 'Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders', 'Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders', 'Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders', 'Dental Laboratory Technicians', 'Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders', 'Mixing and Blending Machine Setters, Operators, and Tenders', 'Jewelers', 'Chemical Equipment Operators and Tenders', 'Ophthalmic Laboratory Technicians', 'Medical Appliance Technicians', 'Precious Metal Workers', 'Cutters and Trimmers, Hand', 'Gem and Diamond Workers']",51-90,16.0,54.25,11.468798251487963,34.0,46.5,58.5,61.5,71.0,0.2114064193822666
"['Legal Secretaries', 'Medical Secretaries', 'Secretaries and Administrative Assistants, Except Legal, Medical, and Executive', 'Executive Secretaries and Executive Administrative Assistants']",43-60,4.0,48.5,15.088627063675034,39.0,40.5,42.0,50.0,71.0,0.3111057126530935
"['Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 'Model Makers, Metal and Plastic', 'Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic', 'Pourers and Casters, Metal', 'Machinists', 'Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic', 'Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 'Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic', 'Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic', 'Metal-Refining Furnace Operators and Tenders', 'Patternmakers, Metal and Plastic', 'Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic', 'Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 'Computer-Controlled Machine Tool Operators, Metal and Plastic', 'Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 'Forging Machine Setters, Operators, and Tenders, Metal and Plastic', 'Foundry Mold and Coremakers', 'Rolling Machine Setters, Operators, and Tenders, Metal and Plastic']",51-40,18.0,56.611111111111114,8.045012257431447,43.0,51.0,56.0,62.75,71.0,0.14211012819800395
"['Economists', 'Urban and Regional Planners', 'Geographers', 'Anthropologists', 'Political Scientists', 'Clinical Psychologists', 'Environmental Economists', 'Archeologists', 'Neuropsychologists and Clinical Neuropsychologists', 'Industrial-Organizational Psychologists', 'School Psychologists', 'Counseling Psychologists', 'Sociologists', 'Survey Researchers', 'Historians', 'Transportation Planners']",19-30,16.0,47.875,12.29566319209067,29.0,40.0,47.0,56.0,71.0,0.2568284739862281
"['Copy Writers', 'Technical Writers', 'Public Relations Specialists', 'Radio and Television Announcers', 'Broadcast News Analysts', 'Public Address System and Other Announcers', 'Poets, Lyricists and Creative Writers', 'Reporters and Correspondents', 'Editors', 'Interpreters and Translators']",27-30,10.0,51.6,16.09140557357664,14.0,46.75,54.0,62.5,71.0,0.31184894522435347
"['Hunters and Trappers', 'Fishers and Related Fishing Workers']",45-30,2.0,43.5,37.476659402887016,17.0,30.25,43.5,56.75,70.0,0.8615324000663682
"['Industrial Truck and Tractor Operators', 'Crane and Tower Operators', 'Wellhead Pumpers', 'Loading Machine Operators, Underground Mining', 'Dredge Operators', 'Machine Feeders and Offbearers', 'Conveyor Operators and Tenders', 'Packers and Packagers, Hand', 'Refuse and Recyclable Material Collectors', 'Laborers and Freight, Stock, and Material Movers, Hand', 'Cleaners of Vehicles and Equipment', 'Hoist and Winch Operators', 'Pump Operators, Except Wellhead Pumpers', 'Excavating and Loading Machine and Dragline Operators', 'Gas Compressor and Gas Pumping Station Operators']",53-70,15.0,47.53333333333333,15.873907911442362,19.0,35.5,48.0,58.5,70.0,0.3339531818676514
"['First-Line Supervisors of Mechanics, Installers, and Repairers']",49-10,1.0,69.0,0.0,69.0,69.0,69.0,69.0,69.0,0.0
"['Camera Operators, Television, Video, and Motion Picture', 'Sound Engineering Technicians', 'Audio and Video Equipment Technicians', 'Film and Video Editors', 'Radio Operators', 'Photographers', 'Broadcast Technicians']",27-40,7.0,61.0,8.246211251235321,49.0,55.5,62.0,68.0,69.0,0.13518379100385772
"['First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand', 'Aircraft Cargo Handling Supervisors', 'Recycling Coordinators', 'First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators']",53-10,4.0,62.75,7.274384280931732,52.0,61.75,65.5,66.5,68.0,0.11592644272401166
